,Unnamed: 0,method,single_q,double_q,dashes,braces,spaces,badwords,class,Cluster
0,0,GET,0,0,0,0,0,0,good,Cluster 1
1,1,GET,0,0,0,0,0,0,good,Cluster 1
2,2,GET,0,0,0,0,0,0,good,Cluster 1
3,3,GET,0,0,0,0,0,0,good,Cluster 1
4,4,GET,0,0,0,0,0,0,good,Cluster 1
5,5,GET,0,0,0,0,0,0,good,Cluster 1
6,6,POST,0,0,0,0,0,0,good,Cluster 1
7,7,GET,0,0,0,0,0,0,good,Cluster 1
8,8,GET,0,0,0,0,0,0,good,Cluster 1
9,9,GET,0,0,0,0,0,0,good,Cluster 1
10,10,GET,0,0,0,0,0,0,good,Cluster 1
11,11,GET,0,0,0,0,0,0,good,Cluster 1
12,12,GET,0,0,0,0,0,0,good,Cluster 1
13,13,GET,0,0,0,0,0,0,good,Cluster 1
14,14,GET,0,0,0,0,0,0,good,Cluster 1
15,15,GET,0,0,0,0,0,0,good,Cluster 1
16,16,GET,0,0,0,0,0,0,good,Cluster 1
17,17,GET,0,0,0,0,0,0,good,Cluster 1
18,18,GET,0,0,0,0,0,0,good,Cluster 1
19,19,GET,0,0,0,0,0,0,good,Cluster 1
20,20,GET,0,0,0,0,0,0,good,Cluster 1
21,21,GET,0,0,0,0,0,0,good,Cluster 1
22,22,GET,0,0,0,0,0,0,good,Cluster 1
23,23,GET,0,0,0,0,0,0,good,Cluster 1
24,24,GET,0,0,0,0,0,0,good,Cluster 1
25,25,GET,0,0,0,0,0,0,good,Cluster 1
26,26,GET,0,0,0,0,0,0,good,Cluster 1
27,27,GET,0,0,0,0,0,0,good,Cluster 1
28,28,GET,0,0,0,0,0,0,good,Cluster 1
29,29,GET,0,0,0,0,0,0,good,Cluster 1
30,30,GET,0,0,0,0,0,0,good,Cluster 1
31,31,GET,0,0,0,0,0,0,good,Cluster 1
32,32,GET,0,0,0,0,0,0,good,Cluster 1
33,33,GET,0,0,0,0,0,0,good,Cluster 1
34,34,GET,0,0,0,0,0,0,good,Cluster 1
35,35,GET,0,0,0,0,0,0,good,Cluster 1
36,36,GET,0,0,0,0,0,0,good,Cluster 1
37,37,GET,0,0,0,0,0,0,good,Cluster 1
38,38,GET,0,0,0,0,0,0,good,Cluster 1
39,39,GET,0,0,0,0,0,0,good,Cluster 1
40,40,GET,0,0,0,0,0,0,good,Cluster 1
41,41,GET,0,0,0,0,0,0,good,Cluster 1
42,42,GET,0,0,0,0,0,0,good,Cluster 1
43,43,GET,0,0,0,0,0,0,good,Cluster 1
44,44,GET,0,0,0,0,0,0,good,Cluster 1
45,45,GET,0,0,0,0,0,0,good,Cluster 1
46,46,GET,0,0,0,0,0,0,good,Cluster 1
47,47,GET,0,0,0,0,0,0,good,Cluster 1
48,48,GET,0,0,0,0,0,0,good,Cluster 1
49,49,GET,0,0,0,0,0,0,good,Cluster 1
50,50,GET,0,0,0,0,0,0,good,Cluster 1
51,51,GET,0,0,0,0,0,0,good,Cluster 1
52,52,GET,0,0,0,0,0,0,good,Cluster 1
53,53,GET,0,0,0,0,0,0,good,Cluster 1
54,54,GET,0,0,0,0,0,0,good,Cluster 1
55,55,GET,0,0,0,0,0,0,good,Cluster 1
56,56,GET,0,0,0,0,0,0,good,Cluster 1
57,57,GET,0,0,0,0,0,0,good,Cluster 1
58,58,GET,0,0,0,0,0,0,good,Cluster 1
